campaign_id,influencer_handle,platform,post_date,impressions,reach,likes,comments
C001,@tech_guru,YouTube,2023-05-13,32000,24000,1800,110
C001,@tech_guru,Instagram,2023-05-14,12000,9500,650,35
C001,@tech_guru,TikTok,2023-05-15,28000,23000,1950,105
C001,@alex_lifestyle,Instagram,2023-05-15,25000,21000,1500,95
C001,@alex_lifestyle,Instagram,2023-05-17,27000,22500,1600,105
C001,@alex_lifestyle,TikTok,2023-05-18,19000,16000,900,65
C001,@alex_lifestyle,YouTube,2023-05-20,14000,10000,680,40
C001,@maria_fashion,TikTok,2023-05-14,45000,38000,3500,180
C001,@maria_fashion,TikTok,2023-05-16,48000,40000,3800,195
C001,@maria_fashion,Instagram,2023-05-18,22000,18000,1400,95
C001,@maria_fashion,YouTube,2023-05-20,18000,15000,750,55
C001,@fitness_pro,YouTube,2023-05-16,35000,29000,2100,125
C001,@fitness_pro,Instagram,2023-05-18,28000,24000,1850,95
C001,@fitness_pro,TikTok,2023-05-20,25000,21000,1600,90
C001,@fitness_pro,Instagram,2023-05-30,25443,23475,1671,98
C001,@tech_guru,YouTube,2023-06-05,24969,20315,1077,104
C001,@tech_guru,YouTube,2023-06-09,27207,19089,1444,72
C001,@fitness_pro,Instagram,2023-06-09,26803,22812,1943,151
C001,@tech_guru,Instagram,2023-05-26,25783,20647,1976,141
C001,@maria_fashion,TikTok,2023-05-26,29402,26624,2574,194
C001,@fitness_pro,Instagram,2023-06-06,21417,17109,1543,94
C001,@fitness_pro,Instagram,2023-06-01,25655,19601,1308,80
C001,@maria_fashion,TikTok,2023-06-08,33029,29215,2601,185
C001,@tech_guru,TikTok,2023-06-04,49676,47136,4415,299
C001,@maria_fashion,YouTube,2023-05-22,37435,28789,2417,214
C001,@maria_fashion,TikTok,2023-05-24,21597,17613,1842,95
C001,@tech_guru,YouTube,2023-06-08,15210,12503,757,44
C001,@fitness_pro,TikTok,2023-06-01,35441,29966,2722,114
C001,@tech_guru,Instagram,2023-06-06,26546,20752,1645,159
C001,@maria_fashion,Instagram,2023-05-28,23704,18145,1724,133
C001,@alex_lifestyle,YouTube,2023-06-09,38275,27808,1948,170
C001,@fitness_pro,YouTube,2023-06-03,14115,10591,931,60
C001,@tech_guru,YouTube,2023-05-26,32520,24517,2035,110
C001,@maria_fashion,TikTok,2023-05-22,47942,38374,3255,253
C001,@alex_lifestyle,TikTok,2023-05-22,40995,33240,3246,258
C001,@fitness_pro,Instagram,2023-06-10,28773,24536,1455,130
C001,@alex_lifestyle,Instagram,2023-05-26,24479,22217,1767,149
C001,@alex_lifestyle,TikTok,2023-05-31,31632,26571,2253,96
C001,@tech_guru,TikTok,2023-05-30,49812,42320,3854,264
C001,@alex_lifestyle,YouTube,2023-06-05,25068,22072,1357,118
C001,@maria_fashion,TikTok,2023-05-28,34378,31416,3025,205
C001,@alex_lifestyle,TikTok,2023-05-28,34009,27526,2829,132
C001,@alex_lifestyle,TikTok,2023-05-29,43499,38733,3406,223
C001,@alex_lifestyle,TikTok,2023-05-28,37601,33770,2887,161
